Chave do item;ID do item;Resumo;Situação;Componente(s);Componente(s);Componente(s);Campo personalizado (Valor Inicial);Campo personalizado (Meta para o Valor);Campo personalizado (Valor Atual);Campo personalizado (Objetivo);Campo personalizado (Resultado Chave);Campo personalizado (Ciclo da Iniciativa);Campo personalizado (Check In);Campo personalizado (Completude);Campo personalizado (Lista de céulas OKRs);Campo personalizado (Observação para PI Planning);Campo personalizado (Quando Será Medido?);Campo personalizado (Transbordo);Rótulos;Rótulos;Campo personalizado (% Avanço);Campo personalizado (Empresa BS);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link de item interno (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate);Link externo de item (Relate)
SGTIJIRA01-51296;727848;OKR 4.1 - Atender às demandas regulatórias aplicáveis ao mercado de Capitalização;Em Progresso;PI#10CAP;PI#9CAP;;0.0;100;100;O4 Atender às demandas regulatórias aplicáveis ao mercado de Capitalização;KR4.1 Atender 100% das demandas regulatórias novas ou já previstas com prazo para cumprimento até abril/26;Ciclo 2025;1;;;;;;VS_CAP_Comercializacao;;100.0;CAP;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51300;SGTIJIRA01-58145;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51295;727847;OKR 3.1 - Melhorar a eficiência operacional para o desenvolvimento de demandas estratégicas e revisitar os processos críticos;Em Progresso;PI#10CAP;PI#9CAP;;0.0;700000;405000;O3 Melhorar a eficiência operacional para o desenvolvimento de demandas estratégicas e revisitar os processos críticos;KR3.1 Atingir R$700.000 em ganhos operacionais até abril de 2026.;Ciclo 2025;1;;"Transformação Digital
Pagamento
Melhoria de Processos
TPAR Novos Negócios";;;;VS_CAP_Operacional;;57.8;CAP;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51299;SGTIJIRA01-51567;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51294;727846;"OKR 2.1 - Ampliar os canais extra Banco, avançar em novas modalidades e relacionamento com os diferentes perfis de clientes";Em Progresso;PI#10CAP;PI#9CAP;;0.0;"4,5";"7,699";"O2 Ampliar os canais extra Banco, avançar em novas modalidades e relacionamento com os diferentes perfis de clientes";"KR2.1 Aumentar em R$ 4,5 MM as vendas em Novos Canais, Parcerias e Relacionamento até abril de 2026";Ciclo 2025;1;Atingiu a Meta;"Transformação Digital
OPEN Novos Negócios
";"OKR Estratégica superou a meta, mas ainda tem KR tática em execução.";Medição ao final do 4º trim;;VS_CAP_Parcerias;;100.0;CAP;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51298;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51293;727845;"OKR 1.1 - Manter atualizado o portfólio dos produtos de capitalização usando tecnologias emergentes e agregando experiências na jornada, além de melhorar a margem de lucro e alongar a carteira";Em Progresso;PI#10CAP;PI#9CAP;;0.0;25000000;3055840;"O1 Manter atualizado o portfólio dos produtos de capitalização usando tecnologias emergentes e agregando experiências na jornada, além de melhorar a margem de lucro e alongar a carteira";KR1.1 Aumentar em R$ 25MM a margem de lucro na Comercialização e Rentabilidade de produtos até abril 2026;Ciclo 2025;1;;"Capitalização Mobile
Pagamento
";;;;VS_CAP_Comercializacao;;12.22;CAP;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51297;SGTIJIRA01-51566;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51292;727748;OKR2.2.1.2 Potencializar a experiência do corretor Mercado nos produtos de PREVIDENCIA;FINALIZADO;PI#4DIG;;;0.0;1;1;O2.2.1 Potencializar a experiência do corretor Mercado nos produtos de PREVIDENCIA;KR2.2.1.2 Entregar 1 nova oferta personalizada;Ciclo 2025;4;Atingiu a Meta;;;;Não;VS_Corretor_BVP;;100.0;Digital;SGTIJIRA01-51290;;;;;;;;;;;;;;;;;;;;SBVPPPRA03-742;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51290;727745;OKR2.2 Potencializar a experiência do corretor de rede e de mercado nos produtos de PREVIDENCIA;Em Progresso;PI#4DIG;PI#5DIG;;0.0;1;0;O2 Potencializar a experiência do corretor de rede e de mercado nos produtos de PREVIDENCIA;KR2.2 Aumentar em 1 ponto o NPS Portal PREVIDENCIA (Mercado);Ciclo 2025;;Atingiu Parcialmente a Meta;;;;Não;VS_Corretor_BVP;;50.0;Digital;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51291;SGTIJIRA01-51292;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51289;727741;OKR2.1.1.2 Potencializar a experiência do corretor Rede nos produtos de PREVIDENCIA;FINALIZADO;PI#4DIG;;;0.0;1;1;O2.1.1 Potencializar a experiência do corretor Rede nos produtos de PREVIDENCIA;KR2.1.1.2 Entregar 1 nova oferta personalizada;Ciclo 2025;4;Atingiu a Meta;;;;Não;VS_Corretor_BVP;;100.0;Digital;SGTIJIRA01-51287;;;;;;;;;;;;;;;;;;;;SBVPPPRA03-742;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51287;727737;OKR2.1 Potencializar a experiência do corretor de rede e de mercado nos produtos de PREVIDENCIA;Em Progresso;PI#4DIG;PI#5DIG;;0.0;1;0;O2 Potencializar a experiência do corretor de rede e de mercado nos produtos de PREVIDENCIA;KR2.1 Aumentar em 1 ponto o NPS Portal PREVIDENCIA (Rede);Ciclo 2025;;Atingiu Parcialmente a Meta;;;Medição ao final do 4º trim;Não;VS_Corretor_BVP;;50.0;Digital;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51289;SGTIJIRA01-51288;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51286;727736;OKR1.2.1.3 Potencializar a experiência do corretor Mercado nos produtos de VIDA;FINALIZADO;PI#4DIG;;;0.0;5;5;O1.2.1 Potencializar a experiência do corretor Mercado nos produtos de VIDA;KR1.2.1.3 Implantar 5 novos serviços no novo card (Vida);Ciclo 2025;4;Atingiu a Meta;;;;Não;VS_Corretor_BVP;;100.0;Digital;;;;;;;;;;;;;;;;;;;;;SBVPVIDA00-781;SBVPVIDA00-787;SBVPVIDA00-732;SBVPVIDA00-813;SBVPVIDA00-731;SGTIJIRA01-51283;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51285;727734;OKR1.2.1.2 Potencializar a experiência do corretor Mercado nos produtos de VIDA;FINALIZADO;PI#4DIG;;;0.0;3;3;O1.2.1 Potencializar a experiência do corretor Mercado nos produtos de VIDA;KR1.2.1.2 Implementar 1 novo Card com 03 novos serviços;Ciclo 2025;3;Atingiu a Meta;;;;Não;VS_Corretor_BVP;;100.0;Digital;SGTIJIRA01-51283;;;;;;;;;;;;;;;;;;;;SBVPVIDA00-557;SBVPVIDA00-779;SBVPVIDA00-780;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51284;727732;OKR1.2.1.1 Potencializar a experiência do corretor Mercado nos produtos de VIDA;FINALIZADO;PI#4DIG;;;0.0;2;2;O1.2.1 Potencializar a experiência do corretor Mercado nos produtos de VIDA;KR1.2.1.1 Implantar 2 melhorias na jornada do seguros viagem (Vida);Ciclo 2025;1;Atingiu a Meta;;;;Não;VS_Corretor_BVP;;100.0;Digital;;;;;;;;;;;;;;;;;;;;;SBVPVIDA00-725;SBVPVIDA00-726;SGTIJIRA01-51283;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51283;727730;OKR1.2 Potencializar a experiência do corretor de rede e de mercado nos produtos de VIDA;FINALIZADO;PI#4DIG;PI#5DIG;;22.0;33;33;O1 Potencializar a experiência do corretor de rede e de mercado nos produtos de VIDA;KR1.2 Aumentar o resultado do NPS do Corretor Mercado  de 22 para 33;Ciclo 2025;;Atingiu a Meta;;OKR Estratégica foi finalizada na PI#4;;;VS_Corretor_BVP;;100.0;Digital;SGTIJIRA01-51286;SGTIJIRA01-51284;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51285;SGTIJIRA01-58178;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51282;727729;OKR1.1.1.3 Potencializar a experiência do corretor Rede nos produtos de VIDA;FINALIZADO;PI#4DIG;;;0.0;5;5;O1.1.1 Potencializar a experiência do corretor Rede nos produtos de VIDA;KR1.1.1.3 Implantar 5 novos serviços no novo card (Vida);Ciclo 2025;4;Atingiu a Meta;;;;Não;VS_Corretor_BVP;;100.0;Digital;;;;;;;;;;;;;;;;;;;;;SBVPVIDA00-813;SBVPVIDA00-781;SBVPVIDA00-731;SBVPVIDA00-732;SBVPVIDA00-787;SGTIJIRA01-51279;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51281;727728;OKR1.1.1.2 Potencializar a experiência do corretor Rede nos produtos de VIDA;FINALIZADO;PI#4DIG;;;0.0;1;1;O1.1.1 Potencializar a experiência do corretor Rede nos produtos de VIDA;KR1.1.1.2 Implementar 1 novo Card com 03 novos serviços;Ciclo 2025;4;Atingiu a Meta;;;;Não;VS_Corretor_BVP;;100.0;Digital;SGTIJIRA01-51279;;;;;;;;;;;;;;;;;;;;SBVPVIDA00-557;SBVPVIDA00-779;SBVPVIDA00-780;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51280;727727;OKR1.1.1.1 Potencializar a experiência do corretor Rede nos produtos de VIDA;FINALIZADO;PI#4DIG;;;0.0;2;2;O1.1.1 Potencializar a experiência do corretor Rede nos produtos de VIDA;KR1.1.1.1 Implantar 2 melhorias na jornada do seguros viagem (Vida);Ciclo 2025;1;Atingiu a Meta;;;;Não;VS_Corretor_BVP;;100.0;Digital;SGTIJIRA01-51279;;;;;;;;;;;;;;;;;;;;SBVPVIDA00-725;SBVPVIDA00-726;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51279;727726;OKR1.1 Potencializar a experiência do corretor de rede e de mercado nos produtos de VIDA;FINALIZADO;PI#4DIG;PI#5DIG;;68.0;70;68;O1 Potencializar a experiência do corretor de rede e de mercado nos produtos de VIDA;KR1.1 Aumentar o resultado do NPS do Corretor Rede de 68 para 70;Ciclo 2025;;Não Atingiu a Meta;;OKR Estratégica foi finalizada na PI#4;;;VS_Corretor_BVP;;0.0;Digital;SGTIJIRA01-51282;SGTIJIRA01-58193;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51281;SGTIJIRA01-51280;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51278;727817;OKR1.2.1.1 Aumentar número de vidas entrantes na carteira Dental PF;FINALIZADO;PI#4DIG;PI#5DIG;;0.0;1;1;O1.2.1 Aumentar número de vidas entrantes na carteira Dental PF;KR1.2.1.1 Implementar 1 jornada de melhoria no processo de transmissão de proposta no Portal Produtor;Ciclo 2025;5;Atingiu a Meta;;;Medição ao final do 4º trim;Sim;VS_Corretor_Odontoprev;;100.0;Digital;SGTIJIRA01-51216;;;;;;;;;;;;;;;;;;;;SSAUVCOR00-329;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51277;727814;OKR1.1.1.1 Aumentar celeridade nos processos internos de alterações de regras no Portal Produtor;FINALIZADO;PI#4DIG;PI#5DIG;;0.0;1;1;O1.1.1 Aumentar celeridade nos processos internos de alterações de regras no Portal Produtor;KR1.1.1.1 Implementar 1 jornada de melhoria no Portal Admin EEDI;Ciclo 2025;6;Atingiu a Meta;;;Medição ao final do 4º trim;Sim;VS_Corretor_Odontoprev;;100.0;Digital;SGTIJIRA01-51212;;;;;;;;;;;;;;;;;;;;SSAUVCOR00-1228;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51276;727807;OKR1.4 Centralizar o atendimento dos corretores de forma resolutiva e proporcionar alternativa de trabalho mobile;Em Progresso;PI#4DIG;PI#5DIG;;0.0;1;1;O1 Centralizar o atendimento dos corretores de forma resolutiva e proporcionar alternativa de trabalho mobile;KR1.4 Manter o número de acessos do APP Corretor em 2025.;Ciclo 2025;;;;;;;VS_Corretor_Mobilidade;;;Digital;SGTIJIRA01-51225;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-58125;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51275;727806;OKR1.3.1.1 Atingir 200 mil direcionamentos para o e-commerce com as funcionalidades do Minhas Proteções e Open Insurance até junho de 2025;FINALIZADO;PI#4DIG;;;140000.0;200000;313892;O1.3.1 Atingir 200 mil direcionamentos para o e-commerce com as funcionalidades do Minhas Proteções e Open Insurance até junho de 2025;KR1.3.1.1 Atingir 200 mil direcionamentos para o e-commerce com as funcionalidades do Minhas Proteções e Open Insurance até junho de 2025;Ciclo 2025;4;Atingiu a Meta;;;;;VS_OPIN;;100.0;Digital;SGTIJIRA01-51265;;;;;;;;;;;;;;;;;;;;SDIGBSMO05-1168;SDIGBSMO05-1162;SDIGBSMO05-1173;SDIGBSMO05-927;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51274;727802;OKR1.2.2.1 Atingir 500 consentimentos recebidos novos do Open Insurance até junho de 2025;FINALIZADO;PI#4DIG;;;231.0;500;498;O1.2.2 Atingir 500 consentimentos recebidos novos do Open Insurance até junho de 2025;KR1.2.2.1 Atingir 500 consentimentos recebidos novos do Open Insurance até junho de 2025;Ciclo 2025;4;Atingiu Parcialmente a Meta;;;;;VS_OPIN;;99.0;Digital;SGTIJIRA01-50757;;;;;;;;;;;;;;;;;;;;SDIGBSMO02-2983;SDIGBSMO02-3060;SDIGBSMO02-2249;SDIGBSMO02-1681;SDIGBSMO02-2220;SDIGBSMO02-2218;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51273;727493;OKR1.1.2.1 Manter 100% da conformidade regulatória do Open Insurance;FINALIZADO;PI#4DIG;;;100.0;100;100;O1.1.2 Manter 100% da conformidade regulatória do Open Insurance;KR1.1.2.1 Manter 100% da conformidade regulatória do Open Insurance;Ciclo 2025;4;Atingiu a Meta;;;;;VS_OPIN;;100.0;Digital;SDIGBSMO04-679;SDIGBSMO04-1109;SDIGBSMO02-2217;SDIGBSMO04-911;SDIGBSMO04-680;SDIGBSMO04-234;SDIGBSMO04-960;SDIGBSMO04-231;SDIGBSMO04-235;SDIGBSMO04-684;SDIGBSMO04-674;;;;;;;;;;SDIGBSMO04-672;SDIGBSMO02-2181;SDIGBSMO04-1156;SDIGBSMO04-1157;SDIGBSMO04-285;SDIGBSMO04-12;SDIGBSMO02-2206;SDIGBSMO02-2187;SDIGBSMO04-10;SDIGBSMO04-687;SDIGBSMO04-237;SDIGBSMO02-2263;SDIGBSMO02-2222;SDIGBSMO02-2221;SDIGBSMO04-232;SDIGBSMO04-673;SDIGBSMO04-230;SDIGBSMO04-236;SDIGBSMO04-685;SGTIJIRA01-50756;SDIGBSMO04-959;SDIGBSMO04-682;SDIGBSMO04-1154;SDIGBSMO04-1152;SDIGBSMO04-676;SDIGBSMO02-1590;
SGTIJIRA01-51272;727710;OKR1.1.1.3 Habilitar 6 novas páginas no Portal;FINALIZADO;PI#4DIG;;;0.0;6;6;"O1.1.1 Expandir a oferta de serviços digitais, promovendo melhor experiência e autonomia aos clientes";KR1.1.1.3 Habilitar 6 novas páginas no Portal;Ciclo 2025;4;Atingiu a Meta;;;;;VS_Clientes;;100.0;Digital;SGTIJIRA01-51269;;;;;;;;;;;;;;;;;;;;SDIGPCWB01-6236;SDIGPCWB01-6498;SDIGPCWB01-6613;SDIGPCWB01-6616;SDIGPCWB01-6127;SDIGPCWB01-6608;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51271;727709;OKR1.1.1.2 Habilitar 10 novas jornadas no WPP;FINALIZADO;PI#4DIG;;;0.0;10;10;"O1.1.1 Expandir a oferta de serviços digitais, promovendo melhor experiência e autonomia aos clientes";KR1.1.1.2 Habilitar 10 novas jornadas no WPP;Ciclo 2025;5;Atingiu a Meta;;;;;VS_Clientes;;100.0;Digital;SGTIJIRA01-51269;;;;;;;;;;;;;;;;;;;;SDIGEWHA00-3915;SDIGEWHA00-3089;SDIGEWHA00-4942;SDIGEWHA00-4943;SDIGEWHA00-4026;SDIGEWHA00-4991;SDIGEWHA00-4023;SDIGEWHA00-4024;SDIGEWHA00-4039;SDIGEWHA00-4938;;;;;;;;;;;;;;;;;
SGTIJIRA01-51269;727707;OKR1.1 Aumentar a oferta de serviços disponíveis em 42 novas jornadas/melhorias nas existentes;Em Progresso;PI#4DIG;PI#5DIG;;0.0;42;26;"O1 Expandir a oferta de serviços digitais, promovendo melhor experiência e autonomia aos clientes";KR1.1 Aumentar a oferta de serviços disponíveis em 42 novas jornadas/melhorias nas existentes;Ciclo 2025;1;;;;;;VS_Clientes;;62.0;Digital;SGTIJIRA01-51628;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51272;SGTIJIRA01-51268;SGTIJIRA01-51271;SGTIJIRA01-58148;SGTIJIRA01-58146;SGTIJIRA01-58147;SGTIJIRA01-58149;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51268;727701;OKR1.1.1.1 Habilitar 9 novas jornadas ao APP;FINALIZADO;PI#4DIG;;;0.0;9;9;"O1.1.1 Expandir a oferta de serviços digitais, promovendo melhor experiência e autonomia aos clientes";KR1.1.1.1 Habilitar 9 novas jornadas ao APP;Ciclo 2025;4;Atingiu a Meta;;;;;VS_Clientes;;100.0;Digital;SDIGBSMO01-5616;SGTIJIRA01-51269;;;;;;;;;;;;;;;;;;;SDIGBSMO01-7567;SDIGBSMO01-8364;SDIGBSMO01-7719;SDIGBSMO01-8898;SDIGBSMO01-7639;SDIGBSMO01-8838;SDIGBSMO01-8365;SDIGBSMO01-7381;SDIGBSMO01-8834;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51267;727585;OKR1.3 Elevar a qualidade em 2% do atendimento digital ;Em Progresso;PI#4DIG;PI#5DIG;;0.0;2;0;"O1 Expandir a oferta de serviços digitais, promovendo melhor experiência e autonomia aos clientes";KR1.3 Elevar a qualidade em 2% do atendimento digital;Ciclo 2025;;;;;;;VS_Clientes;;0.0;Digital;SGTIJIRA01-58155;SGTIJIRA01-58153;SGTIJIRA01-58154;SGTIJIRA01-58156;;;;;;;;;;;;;;;;;SGTIJIRA01-51634;SGTIJIRA01-51635;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51265;727168;"OKR1.3 Fomentar iniciativas com foco na monetização do Open Insurance, garantindo a manutenção, aderência à regulamentação vigente e proporcionando a melhor experiência para os clientes";Em Progresso;PI#4DIG;PI#5DIG;;0.0;400000;313892;"O1 Fomentar iniciativas com foco na monetização do Open Insurance, garantindo a manutenção, aderência à regulamentação vigente e proporcionando a melhor experiência para os clientes";KR1.3 Atingir 400 mil direcionamentos para o e-commerce com as funcionalidades do Minhas Proteções e Open Insurance até dezembro de 2025.;Ciclo 2025;;;;;Medição ao final do 4º trim;;VS_OPIN;;78.0;Digital;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51275;SGTIJIRA01-58130;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51243;723145;OKR2.1.1.1 Implementar 5 melhorias na jornada da Loja BS;FINALIZADO;PI#4DIG;;;0.0;5;5;O2.1.1 Oferecer a melhor experiência na contração de produtos;KR2.1.1.1 Implementar 5 melhorias na jornada da Loja BS;Ciclo 2025;4;Atingiu a Meta;;;;;VS_Vendas_Ecommerce;;100.0;Digital;;;;;;;;;;;;;;;;;;;;;DIGBSEC000-2319;DIGBSEC000-2351;DIGBSEC000-2292;DIGBSEC000-2379;SGTIJIRA01-51239;DIGBSEC001-1097;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51242;723144;OKR1.1.1.3 Conquistar mais usuários mar aberto para Loja BS;Cancelado;PI#4DIG;;;0.0;1;0;O1.1.1 Conquistar mais usuários mar aberto para Loja BS;KR1.1.1.3 Criar o Whitelabel para habilitar parcerias com empresas externas para oferecer o produtos da Loja BS;Ciclo 2025;;Não Atingiu a Meta;;PM Ronaldo informou que essa OKR será cancelada.;;Não;VS_Vendas_Ecommerce;;0.0;Digital;SGTIJIRA01-51238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51241;723143;OKR1.1.1.2 Conquistar mais usuários mar aberto para Loja BS;FINALIZADO;PI#4DIG;;;0.0;1;1;O1.1.1 Conquistar mais usuários mar aberto para Loja BS;"KR1.1.1.2 Habilitar Dental Mult: Contratação, Consulta e Cancelamento";Ciclo 2025;1;Atingiu a Meta;;;;;VS_Vendas_Ecommerce;;100.0;Digital;SGTIJIRA01-51238;;;;;;;;;;;;;;;;;;;;DIGBSEC000-1674;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51240;723142;OKR1.1.1.1 Conquistar mais usuários mar aberto para Loja BS;FINALIZADO;PI#4DIG;;;0.0;1;1;O1.1.1 Conquistar mais usuários mar aberto para Loja BS;KR1.1.1.1 Habilitar pagamento do Prêmio na Capitalização Raspadinha PU15;Ciclo 2025;1;Atingiu a Meta;;;;;VS_Vendas_Ecommerce;;100.0;Digital;SGTIJIRA01-51238;;;;;;;;;;;;;;;;;;;;DIGBSEC001-903;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51239;723141;"OKR2.1 Atingir em 0,65% de conversão no funil";Em Progresso;PI#4DIG;PI#5DIG;;0.0;0.65;0;O2 Oferecer a melhor experiência na contração de produtos;"KR2.1 Atingir em 0,65% de conversão no funil.";Ciclo 2025;;;;;;;VS_Vendas_Ecommerce;;0.0;Digital;SGTIJIRA01-51243;SGTIJIRA01-58128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51238;723140;OKR1.1 Conquistar mais usuários mar aberto para Loja BS;Em Progresso;PI#4DIG;PI#5DIG;;0.0;5;0;O1 Conquistar mais usuários mar aberto para Loja BS;KR1.1 Aumentar em 5% a quantidade de usuários na Loja BS;Ciclo 2025;;;;;;;VS_Vendas_Ecommerce;;0.0;Digital;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51240;SGTIJIRA01-51242;SGTIJIRA01-51241;SGTIJIRA01-58126;SGTIJIRA01-58127;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51236;723138;OKR1.5.1.1 Implementar 5 novas jornadas de capacitação;FINALIZADO;PI#4DIG;;;0.0;5;5;O1.5.1 Capacitar os parceiros de negócio;KR1.5.1.1 Implementar 5 novas jornadas de capacitação;Ciclo 2025;4;Atingiu a Meta;;;;Não;VS_Corretor_Portal;;100.0;Digital;SDIGBSPN17-485;SDIGBSPN17-261;SGTIJIRA01-51231;SDIGBSPN17-221;SDIGBSPN10-1327;SDIGBSPN17-610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51235;723137;OKR1.4.1.1 Entregar 4 novas jornadas de pré venda;FINALIZADO;PI#4DIG;;;0.0;4;4;O1.4.1 Prover jornadas de autosserviço para o corretor;KR1.4.1.1 Entregar 4 novas jornadas de pré venda;Ciclo 2025;4;Atingiu a Meta;;;;Não;VS_Corretor_Portal;;100.0;Digital;SDIGBSPN17-146;SGTIJIRA01-51230;SDIGBSPN17-254;SDIGBSPN17-86;SDIGBSPN17-501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51234;723136;OKR1.3.1.1 Implementar 3 novas jornadas para acesso a leads;FINALIZADO;PI#4DIG;;;0.0;3;3;O1.3.1 Facilitar o acesso aos leads para os corretores;KR1.3.1.1 Implementar 3 novas jornadas para acesso a leads;Ciclo 2025;4;Atingiu a Meta;;;;Não;VS_Corretor_Portal;;100.0;Digital;SDIGBSPN17-1016;SGTIJIRA01-51229;SDIGBSPN17-261;SDIGBSPN17-56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51233;723135;OKR1.2.1.1 Implementar o permissionamento dos perfis a nível de jornada para os perfis Produtor e Corretor restrito;FINALIZADO;PI#4DIG;;;0.0;1;1;O1.2.1 Permitir a personalização da jornada até o nível de Menu;KR1.2.1.1 Implementar o permissionamento dos perfis a nível de jornada para os perfis Produtor e Corretor restrito;Ciclo 2025;3;Atingiu a Meta;;;;Não;VS_Corretor_Portal;;100.0;Digital;SGTIJIRA01-51228;SDIGBSPN08-394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51232;723134;OKR1.1.1.1 Tombar 100% dos corretores aptos disponíveis para identidade digital;FINALIZADO;PI#4DIG;;;0.0;100;100;O1.1.1 Habilitar os corretores para a forma de autenticação individualizada e segura;KR1.1.1.1 Tombar 100% dos corretores aptos disponíveis para identidade digital;Ciclo 2025;4;Atingiu a Meta;;;;Não;VS_Corretor_Portal;;100.0;Digital;SGTIJIRA01-51227;SDIGBSPN08-1093;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51231;723133;"OKR1.5 Potencializar a experiência do corretor de seguros, promovendo segurança e entregando jornadas fluídas, otimizadas e integradas no portal de negócio";FINALIZADO;PI#4DIG;PI#5DIG;;0.0;3;3;"O1 Potencializar a experiência do corretor de seguros, promovendo segurança e entregando jornadas fluídas, otimizadas e integradas no portal de negócio";KR1.5 Entregar 3 novas jornadas que facilitem o processo de capacitação dos Corretores;Ciclo 2025;;Atingiu a Meta;;OKR Estratégica foi finalizada na PI#4;;Não;VS_Corretor_Portal;;100.0;Digital;;;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51236;SGTIJIRA01-58350;;;;;;;;;;;;;;;;;;;;;;;;;
SGTIJIRA01-51230;723132;"OKR1.4 Potencializar a experiência do corretor de seguros, promovendo segurança e entregando jornadas fluídas, otimizadas e integradas no portal de negócio";Em Progresso;PI#4DIG;PI#5DIG;;0.0;8;7;"O1 Potencializar a experiência do corretor de seguros, promovendo segurança e entregando jornadas fluídas, otimizadas e integradas no portal de negócio";"KR1.4 Entregar 8 novas jornadas relacionadas a pré vendas, venda e pós vendas";Ciclo 2025;;;;;Medição ao final do 4º trim;;VS_Corretor_Portal;;87.5;Digital;SGTIJIRA01-58171;SGTIJIRA01-58170;;;;;;;;;;;;;;;;;;;SGTIJIRA01-51235;SGTIJIRA01-51237;;;;;;;;;;;;;;;;;;;;;;;;;
